kind	x0	x1	top	bottom	width	height
line	1921.9	1922.1	1919.6	1919.7	0.2	0.1
line	1922.1	1922.2	1919.7	1919.8	0.1	0.2
line	1922.2	1922.3	1919.8	1920.0	0.0	0.2
line	1922.2	1922.3	1920.0	1920.2	0.0	0.2
line	1922.1	1922.2	1920.2	1920.4	0.1	0.2
line	1921.9	1922.1	1920.4	1920.5	0.2	0.1
line	1921.7	1921.9	1920.5	1920.6	0.2	0.1
line	1921.5	1921.7	1920.6	1920.6	0.2	0.0
line	1921.3	1921.5	1920.6	1920.6	0.2	0.0
line	1921.0	1921.3	1920.5	1920.6	0.2	0.1
line	1920.9	1921.0	1920.4	1920.5	0.2	0.1
line	1920.8	1920.9	1920.2	1920.4	0.1	0.2
line	1920.7	1920.8	1920.0	1920.2	0.0	0.2
line	1920.7	1920.8	1919.8	1920.0	0.0	0.2
line	1920.8	1920.9	1919.7	1919.8	0.1	0.2
line	1920.9	1921.0	1919.6	1919.7	0.2	0.1
line	1921.0	1921.3	1919.5	1919.6	0.2	0.1
line	1921.3	1921.5	1919.5	1919.5	0.2	0.0
line	1922.3	1922.3	1920.0	1928.4	0.0	8.3
line	1922.3	1922.3	1914.9	1915.0	0.0	0.1
line	1922.3	1922.3	1915.0	1915.2	0.0	0.2
line	1922.3	1922.3	1915.2	1915.4	0.0	0.3
line	1922.3	1922.3	1915.4	1915.8	0.0	0.4
line	1922.3	1922.3	1915.8	1920.0	0.0	4.2
line	1920.7	1920.7	1920.0	1928.4	0.0	8.3
line	1920.7	1920.7	1914.9	1915.0	0.0	0.1
line	1920.7	1920.7	1915.0	1915.2	0.0	0.2
line	1920.7	1920.7	1915.2	1915.4	0.0	0.3
line	1920.7	1920.7	1915.4	1915.8	0.0	0.4
line	1920.7	1920.7	1915.8	1920.0	0.0	4.2
line	1924.3	1924.3	1942.0	1942.5	0.0	0.6
line	1924.3	1924.3	1942.5	1943.2	0.0	0.6
line	1924.3	1924.3	1943.2	1943.9	0.0	0.7
line	1924.3	1924.3	1943.9	1944.6	0.0	0.7
line	1924.3	1924.3	1944.6	1945.3	0.0	0.7
