x0	x1	top	bottom	text
2811.35	2820.95	2080.35	2086.31	R
2811.35	2820.95	2071.69	2080.35	W
2811.35	2820.95	2068.11	2071.69	I
2811.35	2820.95	2061.7	2068.1	N
2811.35	2820.95	2058.69	2061.7	 
2811.35	2820.95	2053.44	2058.73	P
2811.35	2820.95	2047.67	2053.43	A
2811.35	2820.95	2041.71	2047.67	R
2811.35	2820.95	2036.1	2041.71	T
2811.35	2820.95	2029.7	2036.1	N
2811.35	2820.95	2024.31	2029.7	E
2811.35	2820.95	2018.35	2024.31	R
2811.35	2820.95	2013.0	2018.34	S
2811.35	2820.95	2009.99	2012.99	 
2811.35	2820.95	2004.2	2009.96	A
2811.35	2820.95	1998.23	2004.2	R
2811.35	2820.95	1992.46	1998.23	C
2811.35	2820.95	1985.98	1992.46	H
2811.35	2820.95	1982.4	1985.98	I
2811.35	2820.95	1976.79	1982.4	T
2811.35	2820.95	1971.4	1976.79	E
2811.35	2820.95	1965.63	1971.4	C
2811.35	2820.95	1960.02	1965.63	T
2811.35	2820.95	1954.67	1960.02	S
2811.35	2820.95	1951.67	1954.67	 
2811.35	2820.95	1948.66	1951.66	 
2811.35	2820.95	1945.65	1948.66	 
2811.35	2820.95	1942.64	1945.65	 
2811.35	2820.95	1939.64	1942.64	 
2811.35	2820.95	1934.38	1939.62	1
2811.35	2820.95	1930.71	1934.37	/
2811.35	2820.95	1925.48	1930.72	2
2811.35	2820.95	1920.23	1925.48	5
2811.35	2820.95	1916.56	1920.22	/
2811.35	2820.95	1911.34	1916.58	2
2811.35	2820.95	1906.09	1911.34	0
2811.35	2820.95	1900.85	1906.09	1
2811.35	2820.95	1895.6	1900.84	9
2811.35	2820.95	1892.58	1895.58	 
2811.35	2820.95	1889.57	1892.58	 
2811.35	2820.95	1886.57	1889.57	 
2811.35	2820.95	1883.56	1886.57	 
2811.35	2820.95	1880.56	1883.56	 
2811.35	2820.95	1875.3	1880.54	1
2811.35	2820.95	1870.05	1875.3	2
2811.35	2820.95	1866.66	1870.05	:
2811.35	2820.95	1861.42	1866.66	2
2811.35	2820.95	1856.17	1861.42	8
2811.35	2820.95	1853.16	1856.17	 
2811.35	2820.95	1847.86	1853.15	P
2811.35	2820.95	1840.44	1847.84	M
2811.35	2820.95	1837.42	1840.42	 
2811.35	2820.95	1834.41	1837.42	 
2811.35	2820.95	1831.41	1834.41	 
2811.35	2820.95	1828.4	1831.41	 
2811.35	2820.95	1825.4	1828.4	 
2811.35	2820.95	1819.73	1825.38	B
2811.35	2820.95	1816.14	1819.72	I
2811.35	2820.95	1808.73	1816.13	M
2811.35	2820.95	1805.72	1808.73	 
2811.35	2820.95	1800.39	1805.74	S
2811.35	2820.95	1795.33	1800.38	e
2811.35	2820.95	1791.87	1795.32	r
2811.35	2820.95	1787.08	1791.86	v
2811.35	2820.95	1782.02	1787.07	e
2811.35	2820.95	1778.56	1782.02	r
2811.35	2820.95	1775.14	1778.53	:
2811.35	2820.95	1772.14	1775.14	 
2811.35	2820.95	1768.55	1772.13	I
2811.35	2820.95	1763.25	1768.54	P
2811.35	2820.95	1757.49	1763.25	A
2811.35	2820.95	1753.99	1757.47	-
2811.35	2820.95	1748.37	1754.02	B
2811.35	2820.95	1744.79	1748.37	I
2811.35	2820.95	1737.38	1744.79	M
2811.35	2820.95	1733.9	1737.38	-
2811.35	2820.95	1728.58	1733.92	S
2811.35	2820.95	1722.61	1728.57	R
2811.35	2820.95	1716.86	1722.6	V
2811.35	2820.95	1710.89	1716.85	R
2811.35	2820.95	1707.88	1710.88	 
2811.35	2820.95	1704.39	1707.87	-
2811.35	2820.95	1701.41	1704.42	 
2811.35	2820.95	1695.76	1701.41	B
2811.35	2820.95	1692.17	1695.75	I
2811.35	2820.95	1684.76	1692.16	M
2811.35	2820.95	1681.75	1684.76	 
2811.35	2820.95	1676.42	1681.77	S
2811.35	2820.95	1671.36	1676.41	e
2811.35	2820.95	1667.9	1671.35	r
2811.35	2820.95	1663.11	1667.89	v
2811.35	2820.95	1658.05	1663.1	e
2811.35	2820.95	1654.59	1658.05	r
2811.35	2820.95	1651.58	1654.58	 
2811.35	2820.95	1646.31	1651.55	2
2811.35	2820.95	1641.06	1646.31	0
2811.35	2820.95	1637.4	1641.06	/
2811.35	2820.95	1632.17	1637.41	1
2811.35	2820.95	1626.92	1632.17	8
2811.35	2820.95	1621.68	1626.92	0
2811.35	2820.95	1616.43	1621.67	0
2811.35	2820.95	1611.18	1616.42	1
2811.35	2820.95	1608.17	1611.17	 
2811.35	2820.95	1599.5	1608.16	W
2811.35	2820.95	1594.45	1599.5	e
2811.35	2820.95	1592.25	1594.45	l
2811.35	2820.95	1590.05	1592.24	l
2811.35	2820.95	1587.04	1590.04	 
2811.35	2820.95	1580.31	1587.11	Q
2811.35	2820.95	1574.95	1580.31	u
2811.35	2820.95	1569.9	1574.95	e
2811.35	2820.95	1565.61	1569.89	s
2811.35	2820.95	1562.4	1565.61	t
2811.35	2820.95	1559.39	1562.4	 
2811.35	2820.95	1551.99	1559.4	M
2811.35	2820.95	1546.94	1551.99	e
2811.35	2820.95	1541.58	1546.94	n
2811.35	2820.95	1539.38	1541.58	i
2811.35	2820.95	1536.32	1539.37	f
2811.35	2820.95	1531.27	1536.32	e
2811.35	2820.95	1526.21	1531.26	e
2811.35	2820.95	1523.21	1526.21	 
2811.35	2820.95	1518.39	1523.17	L
2811.35	2820.95	1513.35	1518.39	a
2811.35	2820.95	1508.56	1513.34	k
2811.35	2820.95	1503.51	1508.56	e
2811.35	2820.95	1499.22	1503.5	s
2839.9	2850.87	1523.7	1540.16	P
2850.88	2862.77	1523.7	1540.16	R
2862.78	2875.58	1523.7	1540.16	O
2875.59	2888.39	1523.7	1540.16	G
2888.4	2900.29	1523.7	1540.16	R
2900.3	2911.27	1523.7	1540.16	E
2911.28	2922.26	1523.7	1540.16	S
2922.27	2933.25	1523.7	1540.16	S
2933.26	2937.83	1523.7	1540.16	 
2937.76	2948.74	1523.7	1540.16	S
2948.75	2959.73	1523.7	1540.16	E
2959.74	2969.79	1523.7	1540.16	T
2872.98	2882.13	1542.56	1559.02	0
2882.08	2891.23	1542.56	1559.02	1
2891.19	2895.76	1542.56	1559.02	/
2895.8	2904.95	1542.56	1559.02	2
2904.9	2914.05	1542.56	1559.02	5
2914.01	2918.58	1542.56	1559.02	/
2918.62	2927.77	1542.56	1559.02	1
2927.72	2936.87	1542.56	1559.02	9
2379.15	2388.69	115.25	128.97	K
2388.7	2397.13	115.25	128.97	E
2397.14	2406.33	115.25	128.97	Y
2406.34	2416.91	115.25	128.97	N
2416.92	2427.48	115.25	128.97	O
2427.49	2435.88	115.25	128.97	T
2435.89	2444.32	115.25	128.97	E
2444.33	2453.01	115.25	128.97	S
2379.15	2387.13	143.23	152.83	M
2387.08	2389.75	143.23	152.83	I
2389.7	2395.56	143.23	152.83	L
2395.51	2401.38	143.23	152.83	L
2401.33	2410.37	143.23	152.83	W
2410.32	2417.79	143.23	152.83	O
2417.74	2424.67	143.23	152.83	R
2424.62	2431.55	143.23	152.83	K
2379.15	2387.14	155.88	165.48	M
2387.15	2392.48	155.88	165.48	1
2392.46	2395.12	155.88	165.48	 
2415.15	2421.55	155.88	165.48	B
2421.54	2427.94	155.88	165.48	A
2427.92	2434.33	155.88	165.48	S
2434.31	2440.72	155.88	165.48	E
2440.7	2443.37	155.88	165.48	 
2443.43	2450.36	155.88	165.48	C
2450.35	2456.75	155.88	165.48	A
2456.74	2463.14	155.88	165.48	B
2463.13	2465.8	155.88	165.48	I
2465.79	2472.72	155.88	165.48	N
2472.7	2479.11	155.88	165.48	E
2479.09	2484.96	155.88	165.48	T
2484.95	2487.61	155.88	165.48	 
2487.6	2490.79	155.88	165.48	(
2490.8	2496.13	155.88	165.48	1
2496.11	2501.44	155.88	165.48	3
2501.42	2504.08	155.88	165.48	/
2504.11	2511.04	155.88	165.48	A
2510.77	2516.1	155.88	165.48	1
2516.09	2521.43	155.88	165.48	3
2521.41	2524.08	155.88	165.48	.
2524.07	2529.4	155.88	165.48	1
2529.39	2532.58	155.88	165.48	)
2379.15	2387.14	168.53	178.13	M
2387.15	2392.48	168.53	178.13	2
2392.46	2395.12	168.53	178.13	 
2415.15	2422.08	168.53	178.13	D
2422.05	2428.98	168.53	178.13	R
2428.95	2435.35	168.53	178.13	A
2435.33	2444.39	168.53	178.13	W
2444.36	2450.76	168.53	178.13	E
2450.74	2457.67	168.53	178.13	R
2457.64	2460.31	168.53	178.13	 
2460.07	2467.0	168.53	178.13	C
2466.98	2473.38	168.53	178.13	A
2473.35	2479.75	168.53	178.13	B
2479.73	2482.4	168.53	178.13	I
2482.37	2489.3	168.53	178.13	N
2489.27	2495.67	168.53	178.13	E
2495.65	2501.51	168.53	178.13	T
2379.15	2387.14	181.18	190.78	M
2387.15	2392.48	181.18	190.78	3
2392.46	2395.12	181.18	190.78	 
2415.15	2421.55	181.18	190.78	S
2421.5	2427.37	181.18	190.78	T
2427.33	2433.73	181.18	190.78	A
2433.68	2440.62	181.18	190.78	N
2440.57	2447.5	181.18	190.78	D
2447.46	2453.86	181.18	190.78	A
2453.82	2460.75	181.18	190.78	R
2460.7	2467.63	181.18	190.78	D
2467.59	2470.26	181.18	190.78	 
2469.93	2476.33	181.18	190.78	S
2476.29	2478.96	181.18	190.78	I
2478.91	2485.84	181.18	190.78	N
2485.8	2492.2	181.18	190.78	K
2492.16	2494.83	181.18	190.78	 
2495.02	2501.95	181.18	190.78	C
2501.9	2508.31	181.18	190.78	A
2508.26	2514.67	181.18	190.78	B
2514.62	2517.29	181.18	190.78	I
2517.25	2524.18	181.18	190.78	N
2524.13	2530.54	181.18	190.78	E
2530.49	2536.36	181.18	190.78	T
2536.31	2538.98	181.18	190.78	 
2539.18	2542.37	181.18	190.78	(
2542.38	2547.71	181.18	190.78	1
2547.69	2553.03	181.18	190.78	3
2553.01	2555.67	181.18	190.78	/
2555.7	2562.63	181.18	190.78	A
2562.35	2567.68	181.18	190.78	1
2567.67	2573.01	181.18	190.78	3
2572.99	2575.66	181.18	190.78	.
2575.65	2580.98	181.18	190.78	1
2580.98	2584.17	181.18	190.78	)
2584.18	2586.84	181.18	190.78	 
2586.85	2589.52	181.18	190.78	 
2589.55	2592.75	181.18	190.78	(
2592.75	2598.08	181.18	190.78	2
2598.06	2603.4	181.18	190.78	1
2603.38	2606.04	181.18	190.78	/
2606.06	2612.99	181.18	190.78	A
2612.72	2618.05	181.18	190.78	1
2618.04	2623.38	181.18	190.78	3
2623.36	2626.03	181.18	190.78	.
2626.02	2631.35	181.18	190.78	2
2631.34	2634.53	181.18	190.78	)
2379.15	2387.14	193.83	203.43	M
2387.15	2392.48	193.83	203.43	4
2392.46	2395.12	193.83	203.43	 
2415.15	2421.55	193.83	203.43	A
2421.54	2428.47	193.83	203.43	C
2428.46	2435.39	193.83	203.43	C
2435.39	2441.79	193.83	203.43	E
2441.78	2448.18	193.83	203.43	S
2448.18	2454.58	193.83	203.43	S
2454.57	2457.24	193.83	203.43	I
2457.23	2463.64	193.83	203.43	B
2463.63	2468.96	193.83	203.43	L
2468.96	2475.36	193.83	203.43	E
2475.35	2478.02	193.83	203.43	 
2478.06	2484.46	193.83	203.43	S
2484.45	2487.12	193.83	203.43	I
2487.11	2494.04	193.83	203.43	N
2494.04	2500.44	193.83	203.43	K
2500.43	2503.1	193.83	203.43	 
2503.15	2510.08	193.83	203.43	C
2510.07	2516.47	193.83	203.43	A
2516.46	2522.87	193.83	203.43	B
2522.86	2525.53	193.83	203.43	I
2525.52	2532.45	193.83	203.43	N
2532.44	2538.85	193.83	203.43	E
2538.84	2544.7	193.83	203.43	T
2544.69	2547.36	193.83	203.43	 
2547.31	2556.37	193.83	203.43	W
2556.4	2559.06	193.83	203.43	/
2559.09	2565.49	193.83	203.43	A
2565.38	2571.24	193.83	203.43	T
2571.14	2577.0	193.83	203.43	T
2576.89	2583.29	193.83	203.43	A
2583.18	2590.12	193.83	203.43	C
2590.01	2596.94	193.83	203.43	H
2596.83	2603.23	193.83	203.43	E
2603.12	2610.05	193.83	203.43	D
2609.94	2612.61	193.83	203.43	 
2612.21	2618.61	193.83	203.43	B
2618.5	2624.9	193.83	203.43	A
2624.79	2631.2	193.83	203.43	S
2631.09	2637.49	193.83	203.43	E
2637.81	2640.47	193.83	203.43	 
2640.5	2643.69	193.83	203.43	(
2643.7	2649.03	193.83	203.43	1
2649.01	2654.35	193.83	203.43	9
2654.32	2656.98	193.83	203.43	/
2657.01	2663.94	193.83	203.43	A
2663.66	2668.99	193.83	203.43	1
2668.98	2674.32	193.83	203.43	3
2674.3	2676.97	193.83	203.43	.
2676.96	2682.29	193.83	203.43	1
2682.29	2685.48	193.83	203.43	)
2379.15	2387.14	206.48	216.08	M
2387.15	2392.48	206.48	216.08	5
2392.46	2395.12	206.48	216.08	 
2415.15	2424.21	206.48	216.08	W
2424.15	2430.55	206.48	216.08	A
2430.49	2435.83	206.48	216.08	L
2435.77	2441.11	206.48	216.08	L
2441.05	2443.72	206.48	216.08	 
2443.18	2450.11	206.48	216.08	H
2450.05	2456.98	206.48	216.08	U
2456.92	2463.85	206.48	216.08	N
2463.79	2471.26	206.48	216.08	G
